timestamp,correlationId,system,eventType,details_or_flowName
2026-04-28T05:03:42.015153Z,ebc0e3a9-92a,API,REQUEST,POST /v1/customer/create API=customer-api
2026-04-28T05:03:42.015153Z,ebc0e3a9-92a,API,ERROR,StatusCode=401 Latency=103ms
2026-04-28T05:03:42.015153Z,ebc0e3a9-92a,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=8d16ddf8-563b-47
2026-04-28T05:03:42.015153Z,ebc0e3a9-92a,MQ,ERROR,Message failed processing Status=401
2026-04-28T05:03:42.015153Z,ebc0e3a9-92a,APP_CONNECT,FLOW_START,customer-api
2026-04-28T05:03:42.015153Z,ebc0e3a9-92a,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.015153Z,ebc0e3a9-92a,APP_CONNECT,ERROR,Status=401
2026-04-28T05:03:42.035153Z,86342255-e17,API,REQUEST,POST /v1/customer/create API=customer-api
2026-04-28T05:03:42.035153Z,86342255-e17,API,ERROR,StatusCode=500 Latency=279ms
2026-04-28T05:03:42.035153Z,86342255-e17,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=5ea82b24-47fb-49
2026-04-28T05:03:42.035153Z,86342255-e17,MQ,ERROR,Message failed processing Status=500
2026-04-28T05:03:42.035153Z,86342255-e17,APP_CONNECT,FLOW_START,customer-api
2026-04-28T05:03:42.035153Z,86342255-e17,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.035153Z,86342255-e17,APP_CONNECT,ERROR,Status=500
2026-04-28T05:03:42.045153Z,e065eb19-c8f,API,REQUEST,POST /v1/customer/create API=customer-api
2026-04-28T05:03:42.045153Z,e065eb19-c8f,API,ERROR,StatusCode=500 Latency=487ms
2026-04-28T05:03:42.045153Z,e065eb19-c8f,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=26f8e4cd-60a8-45
2026-04-28T05:03:42.045153Z,e065eb19-c8f,MQ,ERROR,Message failed processing Status=500
2026-04-28T05:03:42.045153Z,e065eb19-c8f,APP_CONNECT,FLOW_START,customer-api
2026-04-28T05:03:42.045153Z,e065eb19-c8f,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.045153Z,e065eb19-c8f,APP_CONNECT,ERROR,Status=500
2026-04-28T05:03:42.065153Z,6ebf9a72-a4d,API,REQUEST,POST /v1/customer/create API=customer-api
2026-04-28T05:03:42.065153Z,6ebf9a72-a4d,API,ERROR,StatusCode=401 Latency=370ms
2026-04-28T05:03:42.065153Z,6ebf9a72-a4d,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=4d4c53a6-4121-45
2026-04-28T05:03:42.065153Z,6ebf9a72-a4d,MQ,ERROR,Message failed processing Status=401
2026-04-28T05:03:42.065153Z,6ebf9a72-a4d,APP_CONNECT,FLOW_START,customer-api
2026-04-28T05:03:42.065153Z,6ebf9a72-a4d,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.065153Z,6ebf9a72-a4d,APP_CONNECT,ERROR,Status=401
2026-04-28T05:03:42.535153Z,6484269b-fdd,API,REQUEST,POST /v1/payment/process API=payment-api
2026-04-28T05:03:42.535153Z,6484269b-fdd,API,ERROR,StatusCode=502 Latency=142ms
2026-04-28T05:03:42.535153Z,6484269b-fdd,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=765cd35c-34f5-47
2026-04-28T05:03:42.535153Z,6484269b-fdd,MQ,ERROR,Message failed processing Status=502
2026-04-28T05:03:42.535153Z,6484269b-fdd,APP_CONNECT,FLOW_START,payment-api
2026-04-28T05:03:42.535153Z,6484269b-fdd,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.535153Z,6484269b-fdd,APP_CONNECT,ERROR,Status=502
2026-04-28T05:03:42.725153Z,9cf4cb45-ef7,API,REQUEST,POST /v1/loan/apply API=loan-api
2026-04-28T05:03:42.725153Z,9cf4cb45-ef7,API,ERROR,StatusCode=502 Latency=151ms
2026-04-28T05:03:42.725153Z,9cf4cb45-ef7,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=648cbbf5-013c-4b
2026-04-28T05:03:42.725153Z,9cf4cb45-ef7,MQ,ERROR,Message failed processing Status=502
2026-04-28T05:03:42.725153Z,9cf4cb45-ef7,APP_CONNECT,FLOW_START,loan-api
2026-04-28T05:03:42.725153Z,9cf4cb45-ef7,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.725153Z,9cf4cb45-ef7,APP_CONNECT,ERROR,Status=502
2026-04-28T05:03:42.885153Z,40092e22-ae1,API,REQUEST,POST /v1/loan/apply API=loan-api
2026-04-28T05:03:42.885153Z,40092e22-ae1,API,ERROR,StatusCode=500 Latency=342ms
2026-04-28T05:03:42.885153Z,40092e22-ae1,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=6b0cb7a2-746c-4b
2026-04-28T05:03:42.885153Z,40092e22-ae1,MQ,ERROR,Message failed processing Status=500
2026-04-28T05:03:42.885153Z,40092e22-ae1,APP_CONNECT,FLOW_START,loan-api
2026-04-28T05:03:42.885153Z,40092e22-ae1,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.885153Z,40092e22-ae1,APP_CONNECT,ERROR,Status=500
2026-04-28T05:03:42.925153Z,1a4b0722-528,API,REQUEST,GET /v1/accounts API=account-api
2026-04-28T05:03:42.925153Z,1a4b0722-528,API,ERROR,StatusCode=502 Latency=209ms
2026-04-28T05:03:42.925153Z,1a4b0722-528,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=8852d628-ae7c-48
2026-04-28T05:03:42.925153Z,1a4b0722-528,MQ,ERROR,Message failed processing Status=502
2026-04-28T05:03:42.925153Z,1a4b0722-528,APP_CONNECT,FLOW_START,account-api
2026-04-28T05:03:42.925153Z,1a4b0722-528,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:42.925153Z,1a4b0722-528,APP_CONNECT,ERROR,Status=502
2026-04-28T05:03:43.125153Z,b9e88995-377,API,REQUEST,POST /v1/payment/process API=payment-api
2026-04-28T05:03:43.125153Z,b9e88995-377,API,ERROR,StatusCode=401 Latency=320ms
2026-04-28T05:03:43.125153Z,b9e88995-377,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=e4f1fd04-fcbd-43
2026-04-28T05:03:43.125153Z,b9e88995-377,MQ,ERROR,Message failed processing Status=401
2026-04-28T05:03:43.125153Z,b9e88995-377,APP_CONNECT,FLOW_START,payment-api
2026-04-28T05:03:43.125153Z,b9e88995-377,APP_CONNECT,TRANSFORM,
2026-04-28T05:03:43.125153Z,b9e88995-377,APP_CONNECT,ERROR,Status=401
2026-04-28T05:03:43.205153Z,556b3e15-a76,API,REQUEST,GET /v1/accounts API=account-api
2026-04-28T05:03:43.205153Z,556b3e15-a76,API,ERROR,StatusCode=401 Latency=322ms
2026-04-28T05:03:43.205153Z,556b3e15-a76,MQ,MESSAGE_PUT,Queue=REQUEST.Q MsgId=8c4f38e4-18b3-4a
2026-04-28T05:03:43.205153Z,556b3e15-a76,MQ,ERROR,Message failed processing Status=401
2026-04-28T05:03:43.205153Z,556b3e15-a76,APP_CONNECT,FLOW_START,account-api
